EMISSAO;No.DOCTO;No.TITULO;PARCELA;FORNECEDOR;VALOR;VALOR A PAGAR;VENCTO;CTA ORCTO;VALOR;UNIDADE
06/03/2013;0603    ;21595   ;001;00116                DISTRIB DE LUCROS                            ;   44.730,00;            ;06/03/2013;000122 Distribuição de Lucro                             ;   34.889,40;001
;;;;;;;;000122 Distribuição de Lucro                             ;    9.840,60;002
06/03/2013;0603    ;21596   ;001;00187                PRO-LABORE SOCIOS                            ;    6.705,67;            ;06/03/2013;000090 Pro - Labore                                      ;    3.566,08;001
;;;;;;;;000090 Pro - Labore                                      ;    3.139,59;001
06/03/2013;0603    ;21597   ;001;00187                PRO-LABORE SOCIOS                            ;    5.051,22;            ;06/03/2013;000090 Pro - Labore                                      ;    5.051,22;002
06/03/2013;0603    ;21598   ;001;00187                PRO-LABORE SOCIOS                            ;    5.234,47;            ;06/03/2013;000090 Pro - Labore                                      ;    3.957,26;001
;;;;;;;;000090 Pro - Labore                                      ;    1.277,21;001
06/03/2013;187     ;21599   ;001;08510945000165       SILVANA DO PRADO SOUZA ME                    ;      190,00;            ;06/03/2013;000024 Material de uso e consumo                         ;      190,00;001
22/01/2013;40839   ;21142   ;002;58.430.828/0001-60   BLAUSIEGEL INDUSTRIA E COMERCIO LTDA         ;    3.183,84;            ;07/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.183,84;001
05/02/2013;2663    ;21264   ;001;56.036.718/0001-92   CENTERLAB CENTROAL DE LABORATÓRIOS LTDA      ;      400,00;            ;07/03/2013;000034 Serviço de Laboratório                            ;      214,68;001
;;;;;;;;000034 Serviço de Laboratório                            ;        9,68;001
;;;;;;;;000034 Serviço de Laboratório                            ;       55,64;001
;;;;;;;;000034 Serviço de Laboratório                            ;        4,12;002
;;;;;;;;000034 Serviço de Laboratório                            ;       23,88;002
;;;;;;;;000034 Serviço de Laboratório                            ;       92,00;002
06/02/2013;1023    ;21296   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;      745,00;            ;07/03/2013;000021 Manutenção Equip. (Corretiva)                     ;      745,00;001
06/02/2013;1024    ;21297   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;    1.196,40;            ;07/03/2013;000021 Manutenção Equip. (Corretiva)                     ;    1.196,40;001
11/02/2013;307599  ;21323   ;001;01.310.222/0001-73   CIRURGICA MAFRA LTDA.                        ;      113,28;            ;07/03/2013;000047 Estoque Hemo                                      ;      113,28;001
14/02/2013;66180   ;21341   ;001;00.762.455/0001-44   NIPROMEDICAL LTDA.                           ;      630,00;            ;07/03/2013;000047 Estoque Hemo                                      ;      630,00;001
14/02/2013;307316  ;21342   ;001;01.310.222/0001-73   CIRURGICA MAFRA LTDA.                        ;    1.550,40;            ;07/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.550,40;001
18/02/2013;232693  ;21400   ;001;53.276.010/0001-10   HEXIS CIENTÍFICA S/A                         ;      973,20;            ;07/03/2013;000047 Estoque Hemo                                      ;      973,20;001
18/02/2013;973     ;21411   ;001;10664                GRÁFICA SANTANA TAUBATÉ-ME                   ;      470,00;            ;07/03/2013;000049 Estoque Papelaria                                 ;      470,00;001
18/02/2013;86220   ;21415   ;001;60184751001109       DSI DROGARIA LTDA                            ;      424,38;            ;07/03/2013;000087 Farmacia a Pagar                                  ;       50,93;002
;;;;;;;;000087 Farmacia a Pagar                                  ;      165,50;002
;;;;;;;;000087 Farmacia a Pagar                                  ;       84,88;002
;;;;;;;;000087 Farmacia a Pagar                                  ;      123,07;002
21/02/2013;266120  ;21486   ;001;61464178000188       Transporte Rod. Teix Varajão Ltda            ;      280,00;            ;07/03/2013;000115 Frete e Trasnporte                                ;      280,00;001
21/01/2013;65698   ;21103   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;    4.861,08;            ;08/03/2013;000053 Estoque Material Limpeza                          ;    4.861,08;001
08/02/2013;5362    ;21366   ;001;10685                SUPERMERCADO SHIBATA                         ;      586,29;            ;08/03/2013;000002 Alimentação Pacientes                             ;      586,29;001
14/02/2013;41047   ;21412   ;001;56.036.718/0001-92   CENTERLAB CENTROAL DE LABORATÓRIOS LTDA      ;      171,86;            ;08/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;      171,86;001
15/02/2013;41574   ;21413   ;001;8710                 TANBY COM. DE PAPEIS                         ;      643,80;            ;08/03/2013;000049 Estoque Papelaria                                 ;      643,80;001
15/02/2013;41575   ;21414   ;001;8710                 TANBY COM. DE PAPEIS                         ;       77,20;            ;08/03/2013;000049 Estoque Papelaria                                 ;       77,20;001
22/02/2013;2202    ;21427   ;001;0                    PREFEITURA MUNICIPAL DE TAUBATÉ              ;      743,35;            ;08/03/2013;000131 IPTU                                              ;       37,17;001
;;;;;;;;000131 IPTU                                              ;        4,44;001
;;;;;;;;000131 IPTU                                              ;        8,18;001
;;;;;;;;000131 IPTU                                              ;        8,18;001
;;;;;;;;000131 IPTU                                              ;       72,85;001
;;;;;;;;000131 IPTU                                              ;       41,78;001
;;;;;;;;000131 IPTU                                              ;        2,23;001
;;;;;;;;000131 IPTU                                              ;       11,00;001
;;;;;;;;000131 IPTU                                              ;      307,75;001
;;;;;;;;000131 IPTU                                              ;      150,16;001
;;;;;;;;000131 IPTU                                              ;       99,61;001
27/02/2013;2702    ;21471   ;001;0002                 FÉRIAS                                       ;    2.919,91;            ;08/03/2013;000092 Férias                                            ;    2.919,91;001
28/02/2013;994     ;21560   ;001;10664                GRÁFICA SANTANA TAUBATÉ-ME                   ;      198,00;            ;08/03/2013;000049 Estoque Papelaria                                 ;      198,00;001
08/03/2013;817     ;21600   ;001;05.971.027/0001-45   TH LAVEX LAVANDERIA HOSPITALAR E IND LTDA ME ;      267,56;            ;08/03/2013;000036 Serviço de Lavanderia                             ;      267,56;001
08/02/2013;4110    ;21601   ;001;64667512000199       PIXEON MEDICAL SYSTEM COMERC LTDA            ;      526,15;            ;08/03/2013;000137 Terceiros de Informatica                          ;      526,15;001
11/03/2013;2       ;21603   ;001;17287191000117       G. NARESSI LUCCI & CIA LTDA ME               ;    1.421,00;            ;08/03/2013;000039 Serviço Contratado PJ                             ;      994,70;001
;;;;;;;;000039 Serviço Contratado PJ                             ;      426,30;002
07/03/2013;55      ;21605   ;001;15.553.578*0001-42   RIBEIRO & LUI SOCIEDADE SIMPLES LTDA         ;    1.161,33;            ;08/03/2013;000014 Serviços Médicos / Plantonistas                   ;    1.161,33;001
09/03/2013;3573    ;21965   ;001;1689                 ROSANGELA A. C. LISBOA                       ;      427,65;            ;09/03/2013;000020 Manutenção Predial                                ;      427,65;001
01/02/2013;2342    ;21153   ;001;05498232000135       EBRAM VILELA ADOVGAD ASSOSCIADOS             ;       16,35;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       16,35;001
04/02/2013;50      ;21235   ;001;08771128000160       KR ASSISTENCIA MEDICA SS LTDA                ;      172,85;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      172,85;001
04/02/2013;50      ;21236   ;001;08771128000160       KR ASSISTENCIA MEDICA SS LTDA                ;      230,47;            ;10/03/2013;000104 ISS s/ NFs                                        ;      230,47;001
06/02/2013;45      ;21275   ;001;06084866000104       WR SERVIÇOS MÉDICOS LTDA                     ;       13,85;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       13,85;001
08/02/2013;0802    ;21278   ;001;6664                 NEFROCOR S/C LTDA.                           ;       15,37;       15,37;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       15,37;001
06/02/2013;279     ;21290   ;001;05915971000185       WASH SAFETY SERV PERSONALIZADO               ;       26,34;            ;10/03/2013;000104 ISS s/ NFs                                        ;       26,34;001
10/02/2013;45      ;21302   ;001;15.553.578*0001-42   RIBEIRO & LUI SOCIEDADE SIMPLES LTDA         ;       17,29;       17,29;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       17,29;001
13/02/2013;1       ;21307   ;001;17287191000117       G. NARESSI LUCCI & CIA LTDA ME               ;       87,00;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       87,00;001
07/02/2013;2646    ;21319   ;001;03.456.926/0001-84   HG ASSESSORIA ZELADORIA E RH LTDA            ;       12,75;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       12,75;001
14/02/2013;4143    ;21374   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;       27,88;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       27,88;001
14/02/2013;4143    ;21375   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;       55,75;            ;10/03/2013;000104 ISS s/ NFs                                        ;       55,75;001
14/02/2013;4143    ;21376   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      306,63;            ;10/03/2013;000101 INSS s/ NFs                                       ;      306,63;001
14/02/2013;4142    ;21379   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;       10,70;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       10,70;002
14/02/2013;4142    ;21380   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;       32,11;            ;10/03/2013;000104 ISS s/ NFs                                        ;       32,11;002
14/02/2013;4142    ;21381   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      117,73;            ;10/03/2013;000101 INSS s/ NFs                                       ;      117,73;002
18/02/2013;4992    ;21390   ;001;9366                 UNIODONTO DE TAUBATÉ                         ;      572,44;            ;10/03/2013;000088 Convênio Odontologico                             ;       27,36;001
;;;;;;;;000088 Convênio Odontologico                             ;      435,74;001
;;;;;;;;000088 Convênio Odontologico                             ;      109,34;001
18/02/2013;19395   ;21397   ;001;66.437.831/0001-33   HTS- TECNOLOGIA EM SAÚDE COM. IMP. E EXP.LTDA;    1.350,00;            ;10/03/2013;000047 Estoque Hemo                                      ;    1.350,00;001
14/02/2013;27111   ;21417   ;001;53.611.125/0001-14   CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA ;      558,16;            ;10/03/2013;000051 Estoque Hemo - MEDICAMENTOS                       ;      558,16;001
20/02/2013;711     ;21444   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;       11,73;       11,73;10/03/2013;000104 ISS s/ NFs                                        ;       11,73;002
22/02/2013;22      ;21451   ;001;02234118000100       J C LEANDRO TRANSPORTES ME                   ;       44,80;            ;10/03/2013;000104 ISS s/ NFs                                        ;       44,80;001
25/02/2013;2502    ;21453   ;001;158678               CAIXA ECONOMICA FEDERAL                      ;   14.830,46;            ;10/03/2013;000121 Emprestimo Consignado - Funcionários              ;      652,54;001
;;;;;;;;000121 Emprestimo Consignado - Funcionários              ;      433,05;001
;;;;;;;;000121 Emprestimo Consignado - Funcionários              ;   11.177,72;001
;;;;;;;;000121 Emprestimo Consignado - Funcionários              ;    2.567,15;001
25/02/2013;2502    ;21454   ;001;158678               CAIXA ECONOMICA FEDERAL                      ;    1.535,50;            ;10/03/2013;000121 Emprestimo Consignado - Funcionários              ;      905,18;002
;;;;;;;;000121 Emprestimo Consignado - Funcionários              ;      630,32;002
25/02/2013;2502    ;21455   ;001;158678               CAIXA ECONOMICA FEDERAL                      ;      201,00;            ;10/03/2013;000121 Emprestimo Consignado - Funcionários              ;      118,49;002
;;;;;;;;000121 Emprestimo Consignado - Funcionários              ;       82,51;002
25/02/2013;55      ;21469   ;001;10965                VALENS SERV. MÉDICOS                         ;      122,78;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      122,78;002
27/02/2013;2702    ;21475   ;001;01205                ADIANTAMENTO 13º SAL                         ;    6.873,00;            ;10/03/2013;000091 Adiantamento de 13º Salário                       ;    4.710,07;001
;;;;;;;;000091 Adiantamento de 13º Salário                       ;      404,82;001
;;;;;;;;000091 Adiantamento de 13º Salário                       ;    1.758,11;002
20/02/2013;4221    ;21478   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      323,79;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      323,79;001
20/02/2013;4221    ;21479   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      647,58;            ;10/03/2013;000104 ISS s/ NFs                                        ;      647,58;001
20/02/2013;4221    ;21480   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;    3.561,71;            ;10/03/2013;000101 INSS s/ NFs                                       ;    3.561,71;001
20/02/2013;4220    ;21483   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      124,32;            ;10/03/2013;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;      124,32;002
20/02/2013;4220    ;21484   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;      372,95;            ;10/03/2013;000104 ISS s/ NFs                                        ;      372,95;002
20/02/2013;4220    ;21485   ;001;02.666.114/0001-09   MILCLEAN COM. E SERVIÇOS LTDA                ;    1.367,47;            ;10/03/2013;000101 INSS s/ NFs                                       ;    1.367,47;001
22/02/2013;73653   ;21503   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;      119,92;      119,92;10/03/2013;000104 ISS s/ NFs                                        ;      119,92;001
25/02/2013;73742   ;21504   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;       96,00;            ;10/03/2013;000039 Serviço Contratado PJ                             ;        5,01;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        6,76;001
;;;;;;;;000039 Serviço Contratado PJ                             ;            ;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        3,90;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        0,21;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        1,03;001
;;;;;;;;000039 Serviço Contratado PJ                             ;       65,89;001
;;;;;;;;000039 Serviço Contratado PJ                             ;       11,88;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        1,32;001
25/02/2013;73740   ;21505   ;001;45.171.402/0001-97   UNIMED DE TAUBATÉ COOPERATIVA                ;      876,90;            ;10/03/2013;000039 Serviço Contratado PJ                             ;       45,77;001
;;;;;;;;000039 Serviço Contratado PJ                             ;       61,73;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        0,02;001
;;;;;;;;000039 Serviço Contratado PJ                             ;       35,60;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        1,93;001
;;;;;;;;000039 Serviço Contratado PJ                             ;        9,38;001
;;;;;;;;000039 Serviço Contratado PJ                             ;      601,90;001
;;;;;;;;000039 Serviço Contratado PJ                             ;      108,56;001
;;;;;;;;000039 Serviço Contratado PJ                             ;       12,01;001
28/02/2013;2786    ;21525   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;       42,50;            ;10/03/2013;000104 ISS s/ NFs                                        ;       42,50;001
28/02/2013;2787    ;21527   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;       36,00;            ;10/03/2013;000104 ISS s/ NFs                                        ;       36,00;002
