CTA BANCARIA;SALDO TRANSPORTE;DATA;No.LANCTO;No.DOCTO;TIPO MOVTO;DEBITO;CREDITO;FAVORECIDO;HISTORICO;SALDO;CTA ORCTO;VALOR;UNIDADE
;;;;;;;;;;;000134 Telefonia                                         ;      129,56;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;        6,58;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;       34,52;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;    1.334,35;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      723,40;001;Taubaté
;;;;;;;;;;;000134 Telefonia                                         ;      986,46;001;Taubaté
22.768-61                     ;  103.007,63;04/03/2013;000023;11;CREDITO (CLIENTE)        ;            ;    2.322,10;ARIOVALDO GAZZO                                        ;REF. a NF 147/NF25                                                                                                      ;  141.429,33;;;;
22.768-61                     ;  103.007,63;05/03/2013;000024;18;TED DEBITO               ;  125.000,00;            ;TED ENTRE CONTAS                                       ;                                                                                                                        ;   16.429,33;;;;
22.768-61                     ;  103.007,63;05/03/2013;000025;19;EMPRESTIMO C GARANTIDA   ;            ;  100.000,00;EMPRESTIMO CONTA GARANTIDA                             ;                                                                                                                        ;  116.429,33;;;;
22.768-61                     ;  103.007,63;05/03/2013;000026;20;REFORÇO CAIXA            ;    2.567,96;            ;REFROÇO DE CAIXA CHEQUE 489992 E 489996                ;                                                                                                                        ;  113.861,37;;;;
22.768-61                     ;  103.007,63;05/03/2013;000027;10;debito bancario          ;      743,35;            ;PREFEITURA MUNICIPAL DE TAUBATÉ                        ;REF. a NF 2202 CHEQUE 489995                                                                                            ;  113.118,02;000131 IPTU                                              ;       37,17;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        4,44;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        8,18;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        8,18;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       72,85;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       41,78;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;        2,23;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       11,00;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;      307,75;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;      150,16;001;Taubaté
;;;;;;;;;;;000131 IPTU                                              ;       99,61;001;Taubaté
22.768-61                     ;  103.007,63;05/03/2013;000028;16;despesas bancárias       ;       74,28;            ;DESPESA BANCARIA                                       ;                                                                                                                        ;  113.043,74;000117 Despesas Bancárias (tarifas)                      ;       74,28;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000029;10;debito bancario          ;   14.910,00;            ;DISTRIB DE LUCROS                                      ;REF. a DISTRIBUIÇÃO LUCRO DR JERONIMO                                                                                   ;   98.133,74;000122 Distribuição de Lucro                             ;    5.069,40;001;Taubaté
;;;;;;;;;;;000122 Distribuição de Lucro                             ;    9.840,60;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000030;10;debito bancario          ;    8.910,00;            ;DISTRIB DE LUCROS                                      ;REF. a  DISTR.LUCRO DR MAGDA                                                                                            ;   89.223,74;000122 Distribuição de Lucro                             ;    8.910,00;001;Taubaté
;;;;;;;;;;;000122 Distribuição de Lucro                             ;            ;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000031;10;debito bancario          ;   14.910,00;            ;DISTRIB DE LUCROS                                      ;REF. a DITRIB DR ADILSON                                                                                                ;   74.313,74;000122 Distribuição de Lucro                             ;   14.910,00;001;Taubaté
;;;;;;;;;;;000122 Distribuição de Lucro                             ;            ;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000032;10;debito bancario          ;    5.051,22;            ;PRO-LABORE SOCIOS                                      ;REF. a PRO LABORE DR JERONIMO                                                                                           ;   69.262,52;000090 Pro - Labore                                      ;    5.051,22;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000033;10;debito bancario          ;    6.705,67;            ;PRO-LABORE SOCIOS                                      ;REF. a PRO-LABORE DR MAGDA                                                                                              ;   62.556,85;000090 Pro - Labore                                      ;    3.566,08;001;Taubaté
;;;;;;;;;;;000090 Pro - Labore                                      ;    3.139,59;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000034;10;debito bancario          ;    5.234,47;            ;PRO-LABORE SOCIOS                                      ;REF. a PRO-LABORE DR ADILSON                                                                                            ;   57.322,38;000090 Pro - Labore                                      ;    3.957,26;001;Taubaté
;;;;;;;;;;;000090 Pro - Labore                                      ;    1.277,21;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000035;10;debito bancario          ;      355,70;            ;EMBRATEL - EMPRESA BRASILEIRA DE TELECOMUNICA          ;REF. a NF 0503                                                                                                          ;   56.966,68;000010 Internet                                          ;        1,32;002;São José
;;;;;;;;;;;000010 Internet                                          ;        4,98;002;São José
;;;;;;;;;;;000010 Internet                                          ;        0,21;002;São José
;;;;;;;;;;;000010 Internet                                          ;        1,92;002;São José
;;;;;;;;;;;000010 Internet                                          ;       27,14;002;São José
;;;;;;;;;;;000010 Internet                                          ;      213,42;002;São José
;;;;;;;;;;;000010 Internet                                          ;      106,71;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000036;10;debito bancario          ;      315,00;            ;MOREIRA JUNIOR E SILVA LTDA ME                         ;REF. a NF 2670                                                                                                          ;   56.651,68;000021 Manutenção Equip. (Corretiva)                     ;      315,00;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000037;10;debito bancario          ;    1.124,50;            ;PANIFICADORA E CONFEITRIA PAO DE AÇUCAR LTDA           ;REF. a NF 18529                                                                                                         ;   55.527,18;000002 Alimentação Pacientes                             ;    1.124,50;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000038;10;debito bancario          ;       36,45;            ;TANBY COM. DE PAPEIS                                   ;REF. a NF 42044                                                                                                         ;   55.490,73;000049 Estoque Papelaria                                 ;       36,45;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000039;10;debito bancario          ;    6.480,00;            ;PRONEFRO                                               ;REF. a NF 15411                                                                                                         ;   49.010,73;000047 Estoque Hemo                                      ;    6.480,00;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000040;10;debito bancario          ;      100,00;            ;MINISTERIO DA PREVIDENCIA SOCIAL - MPS                 ;REF. a NF 3005                                                                                                          ;   48.910,73;000108 Cofins s/ Faturamento                             ;      100,00;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000041;10;debito bancario          ;    1.617,03;            ;CREMER S. A.                                           ;REF. a NF 257115                                                                                                        ;   47.293,70;000047 Estoque Hemo                                      ;    1.617,03;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000042;10;debito bancario          ;    2.286,90;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27039                                                                                                         ;   45.006,80;000047 Estoque Hemo                                      ;    2.286,90;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000043;10;debito bancario          ;    6.000,00;            ;DISTRIB DE LUCROS                                      ;REF. a DISTRIB. LUCRO DR MAGDA CHEQUE 489993                                                                            ;   39.006,80;000122 Distribuição de Lucro                             ;    6.000,00;001;Taubaté
;;;;;;;;;;;000122 Distribuição de Lucro                             ;            ;002;São José
22.768-61                     ;  103.007,63;06/03/2013;000044;10;debito bancario          ;    9.714,99;            ;KR ASSISTENCIA MEDICA SS LTDA                          ;REF. a NF 52 CHEQUE 489990                                                                                              ;   29.291,81;000014 Serviços Médicos / Plantonistas                   ;    7.506,77;001;Taubaté
;;;;;;;;;;;000014 Serviços Médicos / Plantonistas                   ;    2.208,22;001;Taubaté
22.768-61                     ;  103.007,63;06/03/2013;000046;16;despesas bancárias       ;        4,05;            ;DESPESA BANCARIA                                       ;                                                                                                                        ;   29.287,76;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;07/03/2013;000045;10;debito bancario          ;      450,00;            ;ASSOCIAÇÃO PAULISTA DE MEDICINA - REGIONAL SJ          ;REF. a PATROCINIO CHEQUE 489991                                                                                         ;   28.837,76;000027 Publicidade e Propaganda                          ;      450,00;002;São José
22.768-61                     ;  103.007,63;07/03/2013;000047;10;debito bancario          ;   14.103,81;            ;FGTS                                                   ;REF. a NF 0503                                                                                                          ;   14.733,95;000099 FGTS s/ FOPAG                                     ;      617,75;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      833,54;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       64,88;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      451,32;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       31,03;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      150,90;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;    8.056,10;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;    1.463,98;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      159,37;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       81,80;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;    1.417,43;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      634,67;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      141,04;002;São José
22.768-61                     ;  103.007,63;07/03/2013;000048;10;debito bancario          ;    2.191,17;            ;FGTS                                                   ;REF. a NF 0503                                                                                                          ;   12.542,78;000099 FGTS s/ FOPAG                                     ;       95,97;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      129,50;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       10,08;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       70,12;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;        4,82;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       23,45;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;    1.251,60;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      227,44;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       24,76;001;Taubaté
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       12,71;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;      220,21;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       98,60;002;São José
;;;;;;;;;;;000099 FGTS s/ FOPAG                                     ;       21,91;002;São José
22.768-61                     ;  103.007,63;07/03/2013;000049;10;debito bancario          ;    3.183,84;            ;BLAUSIEGEL INDUSTRIA E COMERCIO LTDA                   ;REF. a NF 40839                                                                                                         ;    9.358,94;000051 Estoque Hemo - MEDICAMENTOS                       ;    3.183,84;001;Taubaté
22.768-61                     ;  103.007,63;07/03/2013;000050;10;debito bancario          ;       45,90;            ;LABORATORIO ALVARO LTDA                                ;REF. a NF 158251                                                                                                        ;    9.313,04;000103 IRRF - PJ - CÓD. 1708 e 3280                      ;       45,90;001;Taubaté
22.768-61                     ;  103.007,63;07/03/2013;000051;10;debito bancario          ;    1.550,40;            ;CIRURGICA MAFRA LTDA.                                  ;REF. a NF 307316                                                                                                        ;    7.762,64;000051 Estoque Hemo - MEDICAMENTOS                       ;    1.550,40;001;Taubaté
22.768-61                     ;  103.007,63;07/03/2013;000052;17;TED CREDITO              ;            ;   52.000,00;ted entre contas                                       ;                                                                                                                        ;   59.762,64;;;;
22.768-61                     ;  103.007,63;07/03/2013;000053;16;despesas bancárias       ;       40,97;            ;despesa bancaria                                       ;                                                                                                                        ;   59.721,67;000117 Despesas Bancárias (tarifas)                      ;       40,97;001;Taubaté
22.768-61                     ;  103.007,63;08/03/2013;000054;10;debito bancario          ;    1.421,00;            ;G. NARESSI LUCCI & CIA LTDA ME                         ;REF. a NF 2 cheque 489994                                                                                               ;   58.300,67;000039 Serviço Contratado PJ                             ;      994,70;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;      426,30;002;São José
22.768-61                     ;  103.007,63;08/03/2013;000055;18;TED DEBITO               ;   16.000,00;            ;ted entre contas                                       ;                                                                                                                        ;   42.300,67;;;;
22.768-61                     ;  103.007,63;11/03/2013;000056;10;debito bancario          ;      157,00;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 47438                                                                                                         ;   42.143,67;000032 Serviço de Esterelização                          ;      157,00;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000057;10;debito bancario          ;      290,00;            ;MARIANA DE JESUS NASCIMENTO ME                         ;REF. a NF 12509                                                                                                         ;   41.853,67;000002 Alimentação Pacientes                             ;      290,00;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000058;10;debito bancario          ;      130,50;            ;ALVES LIMA COM. E ESTERELIZAÇÃO MAT. MEDICOS           ;REF. a NF 47613                                                                                                         ;   41.723,17;000032 Serviço de Esterelização                          ;      130,50;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000059;10;debito bancario          ;    1.911,00;            ;PORTOGAS OXIGENIO DO VALE GASES IND E MED LTD          ;REF. a NF 13839                                                                                                         ;   39.812,17;000024 Material de uso e consumo                         ;    1.911,00;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000060;10;debito bancario          ;      315,29;            ;PRODUMED SERVIÇOS IND                                  ;REF. a NF 59881                                                                                                         ;   39.496,88;000032 Serviço de Esterelização                          ;      315,29;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000061;10;debito bancario          ;    1.377,08;            ;MILCLEAN COM. E SERVIÇOS LTDA                          ;REF. a NF 66443                                                                                                         ;   38.119,80;000053 Estoque Material Limpeza                          ;    1.377,08;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000062;10;debito bancario          ;    2.302,24;            ;BIONEXO DO BRASIL LTDA                                 ;REF. a NF 43154                                                                                                         ;   35.817,56;000039 Serviço Contratado PJ                             ;    2.302,24;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000063;10;debito bancario          ;    1.175,01;            ;EBRAM VILELA ADOVGAD ASSOSCIADOS                       ;REF. a NF 2372                                                                                                          ;   34.642,55;000039 Serviço Contratado PJ                             ;    1.175,01;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000064;10;debito bancario          ;      158,71;            ;SIND EMPREG ESTAB SERV SAUDE SP                        ;REF. a NF 0503                                                                                                          ;   34.483,84;000028 Sindicatos                                        ;      158,71;002;São José
22.768-61                     ;  103.007,63;11/03/2013;000065;10;debito bancario          ;    6.308,22;            ;AUTO POSTO BOM RODAR LTDA                              ;REF. a NF 1076                                                                                                          ;   28.175,62;000005 Combustiveis e Lubrificantes                      ;       97,15;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;       89,58;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;      123,01;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;        6,31;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;       32,17;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;    4.647,90;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;      459,23;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;      187,98;001;Taubaté
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;      460,50;002;São José
;;;;;;;;;;;000005 Combustiveis e Lubrificantes                      ;      204,39;002;São José
22.768-61                     ;  103.007,63;11/03/2013;000066;10;debito bancario          ;      493,69;            ;LIFESYS INFORMÁTICA                                    ;REF. a NF 10126                                                                                                         ;   27.681,93;000137 Terceiros de Informatica                          ;      493,69;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000067;10;debito bancario          ;       96,00;            ;UNIMED DE TAUBATÉ COOPERATIVA                          ;REF. a NF 73742                                                                                                         ;   27.585,93;000039 Serviço Contratado PJ                             ;        5,01;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        6,76;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;            ;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        3,90;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        0,21;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        1,03;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;       65,89;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;       11,88;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        1,32;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000068;10;debito bancario          ;      876,90;            ;UNIMED DE TAUBATÉ COOPERATIVA                          ;REF. a NF 73740                                                                                                         ;   26.709,03;000039 Serviço Contratado PJ                             ;       45,77;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;       61,73;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        0,02;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;       35,60;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        1,93;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;        9,38;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;      601,90;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;      108,56;001;Taubaté
;;;;;;;;;;;000039 Serviço Contratado PJ                             ;       12,01;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000069;10;debito bancario          ;    1.350,00;            ;HTS- TECNOLOGIA EM SAÚDE COM. IMP. E EXP.LTDA          ;REF. a NF 19395                                                                                                         ;   25.359,03;000047 Estoque Hemo                                      ;    1.350,00;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000070;10;debito bancario          ;      558,16;            ;CENTROVALE COM. E PRODUTOS HOSPITALARES LTDA           ;REF. a NF 27111                                                                                                         ;   24.800,87;000051 Estoque Hemo - MEDICAMENTOS                       ;      558,16;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000073;10;debito bancario          ;    1.049,22;            ;SOESP ODONTO SISTEMA ODONTOLOGICO E SERV PREV          ;REF. a NF 36242                                                                                                         ;   23.751,65;000088 Convênio Odontologico                             ;       73,13;001;Taubaté
;;;;;;;;;;;000088 Convênio Odontologico                             ;       48,79;001;Taubaté
;;;;;;;;;;;000088 Convênio Odontologico                             ;      732,15;001;Taubaté
;;;;;;;;;;;000088 Convênio Odontologico                             ;      195,15;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000074;10;debito bancario          ;       85,25;            ;ABCDT ASSOC BRAS CENTROS DE DIALISE                    ;REF. a NF 1103                                                                                                          ;   23.666,40;000096 Associações                                       ;       85,25;001;Taubaté
22.768-61                     ;  103.007,63;11/03/2013;000075;16;despesas bancárias       ;        4,05;            ;despesa bancaria                                       ;                                                                                                                        ;   23.662,35;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;12/03/2013;000071;10;debito bancario          ;    4.750,00;            ;CENTRO DE DIAGNOSTICO                                  ;REF. a NF 1303                                                                                                          ;   18.912,35;000014 Serviços Médicos / Plantonistas                   ;    4.750,00;001;Taubaté
22.768-61                     ;  103.007,63;12/03/2013;000076;11;CREDITO (CLIENTE)        ;            ;      120,00;CAIXA DE ASSIST. DOS ADVOGADOS DE SÃO PAULO            ;REF. a NF 423/NFE                                                                                                       ;   19.032,35;;;;
22.768-61                     ;  103.007,63;13/03/2013;000077;11;CREDITO (CLIENTE)        ;            ;   35.278,39;AMIL ASSIST. MÉDICA INTERNACIONAL LTDA                 ;REF. a NF 636/NFE                                                                                                       ;   54.310,74;;;;
22.768-61                     ;  103.007,63;13/03/2013;000078;11;CREDITO (CLIENTE)        ;            ;   15.541,38;MEDIAL SAÚDE                                           ;REF. a NF 142/NF25                                                                                                      ;   69.852,12;;;;
22.768-61                     ;  103.007,63;13/03/2013;000079;11;CREDITO (CLIENTE)        ;            ;    7.636,38;HEMOCLINICA                                            ;REF. a NF 165/NF25                                                                                                      ;   77.488,50;;;;
22.768-61                     ;  103.007,63;13/03/2013;000080;18;TED DEBITO               ;    7.000,00;            ;ted entre contas                                       ;                                                                                                                        ;   70.488,50;;;;
22.768-61                     ;  103.007,63;13/03/2013;000081;16;despesas bancárias       ;        4,05;            ;despesa bancaria                                       ;                                                                                                                        ;   70.484,45;000117 Despesas Bancárias (tarifas)                      ;        4,05;001;Taubaté
22.768-61                     ;  103.007,63;14/03/2013;000082;10;debito bancario          ;       35,00;            ;ABRIL SA                                               ;REF. a NF 0712                                                                                                          ;   70.449,45;000003 Assinaturas de Jornais ou Revistas                ;       35,00;001;Taubaté
22.768-61                     ;  103.007,63;14/03/2013;000083;10;debito bancario          ;      715,20;            ;BANCO FIAT S.A.                                        ;REF. a NF 251643                                                                                                        ;   69.734,25;000073 Imob. Veiculos                                    ;      214,56;001;Taubaté
;;;;;;;;;;;000073 Imob. Veiculos                                    ;      286,08;001;Taubaté
;;;;;;;;;;;000073 Imob. Veiculos                                    ;      214,56;001;Taubaté
