CTA ORCTO;No.DOCTO;PARCELA;FORNECEDOR;VENCTO;PAGTO;VALOR;C.CUSTO;UNIDADE
00012 Transportes de pacientes                          ;21767   ;001;02234118000100       J C LEANDRO TRANSPORTES ME                   ;28/03/2013;28/03/2013;    1.881,60;002001 Hemodialise                                       ;001 Taubaté
00014 Serviços Médicos / Plantonistas                   ;21530   ;001;08771128000160       KR ASSISTENCIA MEDICA SS LTDA                ;06/03/2013;07/03/2013;    7.506,77;002001 Hemodialise                                       ;001 Taubaté
00014 Serviços Médicos / Plantonistas                   ;21530   ;001;08771128000160       KR ASSISTENCIA MEDICA SS LTDA                ;06/03/2013;07/03/2013;    2.208,22;004001 Consultorio                                       ;001 Taubaté
00014 Serviços Médicos / Plantonistas                   ;21605   ;001;15.553.578*0001-42   RIBEIRO & LUI SOCIEDADE SIMPLES LTDA         ;08/03/2013;08/03/2013;    1.161,33;002001 Hemodialise                                       ;001 Taubaté
00014 Serviços Médicos / Plantonistas                   ;21602   ;001;6664                 NEFROCOR S/C LTDA.                           ;11/03/2013;11/03/2013;      344,31;002001 Hemodialise                                       ;002 São José
00014 Serviços Médicos / Plantonistas                   ;21647   ;001;6760                 CENTRO DE DIAGNOSTICO                        ;13/03/2013;13/03/2013;    4.750,00;002001 Hemodialise                                       ;001 Taubaté
00014 Serviços Médicos / Plantonistas                   ;21886   ;001;10965                VALENS SERV. MÉDICOS                         ;28/03/2013;05/04/2013;    7.897,46;002001 Hemodialise                                       ;002 São José
00016 Despesa com Veiculos                              ;20967   ;002;12254924000101       CENTRO AUTOMOTIVO SANTA CLARA LTDA ME        ;04/03/2013;04/03/2013;       80,00;002001 Hemodialise                                       ;001 Taubaté
00016 Despesa com Veiculos                              ;21305   ;002;12254924000101       CENTRO AUTOMOTIVO SANTA CLARA LTDA ME        ;04/03/2013;04/03/2013;      600,00;002001 Hemodialise                                       ;001 Taubaté
00017 Eventos                                           ;21556   ;001;01058991000126       MARCHETTI & MARCHETTI PIZZARIA LTDA          ;05/03/2013;05/03/2013;      139,60;002001 Hemodialise                                       ;001 Taubaté
00017 Eventos                                           ;21650   ;001;01465984000300       A.F.MOLICA - EPP                             ;11/03/2013;14/03/2013;      131,91;002001 Hemodialise                                       ;001 Taubaté
00017 Eventos                                           ;21650   ;001;01465984000300       A.F.MOLICA - EPP                             ;11/03/2013;14/03/2013;       33,00;004001 Consultorio                                       ;001 Taubaté
00017 Eventos                                           ;21650   ;001;01465984000300       A.F.MOLICA - EPP                             ;11/03/2013;14/03/2013;       32,97;002001 Hemodialise                                       ;002 São José
00018 Manutenção Preventiva                             ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        7,31;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00018 Manutenção Preventiva                             ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        0,88;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;       19,56;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;        2,36;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;        4,30;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;        4,30;000015 Procedimento Cirurgicos                           ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;       38,33;000016 Farmacia - PRODUÇÃO                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;       21,98;001001 Laboratorio Hemo                                  ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;        1,17;001006 Laboratorio DPA                                   ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;        5,79;001007 Laboratorio Externo                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;      161,94;002001 Hemodialise                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;       79,01;003001 Administracao                                     ;001 Taubaté
00018 Manutenção Preventiva                             ;21433   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;21/03/2013;       52,41;004001 Consultorio                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;        2,28;000012 Dialise Peritonial - DPA                          ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;        9,49;000016 Farmacia - PRODUÇÃO                               ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;        5,58;001001 Laboratorio Hemo                                  ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;        0,22;001006 Laboratorio DPA                                   ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;        2,16;001007 Laboratorio Externo                               ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;      219,68;002001 Hemodialise                                       ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;       14,04;003001 Administracao                                     ;002 São José
00018 Manutenção Preventiva                             ;21443   ;001;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/03/2013;      125,97;004001 Consultorio                                       ;002 São José
00018 Manutenção Preventiva                             ;21574   ;001;10686                S DE S SOARES                                ;22/03/2013;22/03/2013;       85,90;002001 Hemodialise                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       40,38;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        4,85;000013 Hemo - MEDICAMENTOS                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        8,88;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        8,88;000015 Procedimento Cirurgicos                           ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       79,12;000016 Farmacia - PRODUÇÃO                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       45,38;001001 Laboratorio Hemo                                  ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        2,42;001006 Laboratorio DPA                                   ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       11,95;001007 Laboratorio Externo                               ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;      334,31;002001 Hemodialise                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;      163,12;003001 Administracao                                     ;001 Taubaté
00018 Manutenção Preventiva                             ;21524   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;      108,21;004001 Consultorio                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        6,98;000012 Dialise Peritonial - DPA                          ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       29,10;000016 Farmacia - PRODUÇÃO                               ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       17,11;001001 Laboratorio Hemo                                  ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        0,70;001006 Laboratorio DPA                                   ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;        6,63;001007 Laboratorio Externo                               ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;      673,96;002001 Hemodialise                                       ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;       43,07;003001 Administracao                                     ;002 São José
00018 Manutenção Preventiva                             ;21526   ;001;02.452.262/0001-12   GABIRUS REFRIGERAÇÃO COMERCIO LTDA ME        ;28/03/2013;27/03/2013;      386,45;004001 Consultorio                                       ;002 São José
00018 Manutenção Preventiva                             ;21629   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;30/03/2013;10/04/2013;    2.602,89;002001 Hemodialise                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21629   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;30/03/2013;10/04/2013;    1.464,12;002001 Hemodialise                                       ;002 São José
00018 Manutenção Preventiva                             ;21700   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;30/03/2013;27/03/2013;    1.720,00;002001 Hemodialise                                       ;001 Taubaté
00018 Manutenção Preventiva                             ;21701   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;30/03/2013;27/03/2013;    1.720,00;002001 Hemodialise                                       ;002 São José
00019 Locação de Maquinas e Equipamentos                ;21299   ;001;01.440.590/0001-36   FRESENIUS MEDICAL LTDA                       ;01/03/2013;01/03/2013;    1.680,00;002001 Hemodialise                                       ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;        7,12;000012 Dialise Peritonial - DPA                          ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       84,55;001001 Laboratorio Hemo                                  ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;        3,56;001006 Laboratorio DPA                                   ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       63,46;001007 Laboratorio Externo                               ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;      260,05;002001 Hemodialise                                       ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;      239,59;003001 Administracao                                     ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       84,55;004001 Consultorio                                       ;001 Taubaté
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       29,37;001001 Laboratorio Hemo                                  ;002 São José
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       70,49;002001 Hemodialise                                       ;002 São José
00019 Locação de Maquinas e Equipamentos                ;21499   ;001;12348102000181       F&S TECNOLOGIA EM IMPRESSAO LTDA - EPP       ;05/03/2013;05/03/2013;       47,26;004001 Consultorio                                       ;002 São José
00020 Manutenção Predial                                ;21965   ;001;1689                 ROSANGELA A. C. LISBOA                       ;09/03/2013;11/04/2013;      427,65;002001 Hemodialise                                       ;001 Taubaté
00020 Manutenção Predial                                ;21678   ;001;02482462000118       EDMILSON RICARDO DOS SANTOS ME               ;20/03/2013;20/03/2013;      319,00;002001 Hemodialise                                       ;001 Taubaté
00020 Manutenção Predial                                ;21425   ;001;1021                 COREVAL COM. MAT. ELETRICO                   ;21/03/2013;21/03/2013;      544,80;002001 Hemodialise                                       ;001 Taubaté
00020 Manutenção Predial                                ;21780   ;001;64088461000140       TADEU FERNANDO DOS SANTOS ME                 ;27/03/2013;28/03/2013;      520,00;002001 Hemodialise                                       ;001 Taubaté
00020 Manutenção Predial                                ;21554   ;001;47536420000150       STELC CONSTRUÇÕES ELETRICOS E COERC LTDA     ;28/03/2013;28/03/2013;      298,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21430   ;001;03863392000100       LUIZ RICARDO RIGHETI                         ;04/03/2013;04/03/2013;      720,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21287   ;001;05.360.906/0001-30   MOREIRA JUNIOR E SILVA LTDA ME               ;06/03/2013;06/03/2013;      315,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21296   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;07/03/2013;11/03/2013;      745,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21297   ;001;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;07/03/2013;12/03/2013;    1.196,40;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20246   ;005;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;14/03/2013;14/03/2013;      416,14;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20250   ;005;661181420006-70      PERENNE EQUIP. E SISTEMAS DE AGUA            ;14/03/2013;22/03/2013;       64,52;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21365   ;001;08.384.839/0001-82   N.A. PEREIRA FILHO E COMPANHIA LTDA ME       ;14/03/2013;14/03/2013;      362,90;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21449   ;001;00.250.813/0001-30   ECOZON PLUS LTDA                             ;15/03/2013;15/03/2013;      372,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;21640   ;001;61.092.565/0001-30   MADIS RODBEL SOLU DE PONTO E ACESSO LTDA     ;15/03/2013;15/03/2013;      143,00;002001 Hemodialise                                       ;002 São José
00021 Manutenção Equip. (Corretiva)                     ;21639   ;001;61.092.565/0001-30   MADIS RODBEL SOLU DE PONTO E ACESSO LTDA     ;18/03/2013;18/03/2013;      330,00;002001 Hemodialise                                       ;002 São José
00021 Manutenção Equip. (Corretiva)                     ;21442   ;001;05.360.906/0001-30   MOREIRA JUNIOR E SILVA LTDA ME               ;19/03/2013;19/03/2013;      215,00;002001 Hemodialise                                       ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        1,61;000014 U.T.I - Dialise Externa                           ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        1,61;000015 Procedimento Cirurgicos                           ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;       14,33;000016 Farmacia - PRODUÇÃO                               ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        8,22;001001 Laboratorio Hemo                                  ;001 Taubaté
00021 Manutenção Equip. (Corretiva)                     ;20943   ;003;888888888888888888   OSYSTEM MANUT. ELEV. LTDA                    ;20/03/2013;20/02/2013;        0,45;001006 Laboratorio DPA                                   ;001 Taubaté
